Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,age,Segment
1979.0,Graduation,Relationship,2447.0,1.0,0.0,42.0,1.0,1.0,67.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,45.0,0
1949.0,PhD,Relationship,58607.0,0.0,1.0,63.0,867.0,0.0,86.0,0.0,0.0,19.0,3.0,2.0,3.0,9.0,8.0,75.0,1
1954.0,PhD,Relationship,65324.0,0.0,1.0,0.0,384.0,0.0,102.0,21.0,32.0,5.0,3.0,6.0,2.0,9.0,4.0,70.0,1
1951.0,Graduation,Relationship,40689.0,0.0,1.0,69.0,270.0,3.0,27.0,39.0,6.0,99.0,2.0,7.0,1.0,5.0,8.0,73.0,0
1969.0,Graduation,Single,18589.0,0.0,0.0,89.0,6.0,4.0,25.0,15.0,12.0,13.0,2.0,2.0,1.0,3.0,7.0,55.0,0
1976.0,Graduation,Relationship,53359.0,1.0,1.0,4.0,173.0,4.0,30.0,3.0,6.0,41.0,4.0,5.0,1.0,4.0,7.0,48.0,1
1986.0,Graduation,Single,52247.25135379061,1.0,0.0,19.0,5.0,1.0,3.0,3.0,8.0,24.0,0.0,4.0,0.0,0.0,1.0,38.0,1
1989.0,Graduation,Relationship,38360.0,1.0,0.0,26.0,36.0,2.0,42.0,20.0,21.0,10.0,2.0,2.0,1.0,4.0,3.0,35.0,0
1989.0,Master,Single,10979.0,0.0,0.0,34.0,8.0,4.0,10.0,2.0,2.0,4.0,2.0,3.0,0.0,3.0,5.0,35.0,0
1963.0,Master,Relationship,38620.0,0.0,0.0,56.0,112.0,17.0,44.0,34.0,22.0,89.0,1.0,2.0,5.0,3.0,3.0,61.0,0
1970.0,Graduation,Relationship,40548.0,0.0,1.0,31.0,110.0,0.0,5.0,2.0,0.0,3.0,2.0,2.0,1.0,4.0,5.0,54.0,0
1952.0,PhD,Single,46610.0,0.0,2.0,8.0,96.0,12.0,96.0,33.0,22.0,43.0,6.0,4.0,1.0,6.0,6.0,72.0,0
1946.0,Master,Relationship,68657.0,0.0,0.0,4.0,482.0,34.0,471.0,119.0,68.0,22.0,1.0,3.0,5.0,9.0,7.0,78.0,1
1951.0,Master,Single,49389.0,1.0,1.0,55.0,40.0,0.0,19.0,2.0,1.0,3.0,1.0,2.0,0.0,3.0,7.0,73.0,0
1970.0,PhD,Relationship,67353.0,0.0,1.0,37.0,702.0,17.0,151.0,0.0,8.0,35.0,5.0,5.0,6.0,12.0,2.0,54.0,1
1976.0,Foundational,Relationship,23718.0,1.0,0.0,76.0,6.0,3.0,14.0,15.0,7.0,36.0,3.0,3.0,1.0,2.0,7.0,48.0,0
1943.0,PhD,Single,48948.0,0.0,0.0,53.0,437.0,8.0,206.0,12.0,49.0,42.0,2.0,7.0,10.0,5.0,6.0,81.0,0
1980.0,Graduation,Relationship,80011.0,0.0,1.0,3.0,421.0,76.0,536.0,82.0,8.0,102.0,2.0,8.0,6.0,5.0,4.0,44.0,1
1985.0,Master,Relationship,20559.0,1.0,0.0,88.0,13.0,1.0,29.0,3.0,0.0,7.0,2.0,2.0,0.0,3.0,8.0,39.0,0
1957.0,Graduation,Relationship,21994.0,0.0,1.0,4.0,9.0,0.0,6.0,3.0,1.0,3.0,1.0,0.0,0.0,3.0,5.0,67.0,0
1959.0,PhD,Single,52247.25135379061,0.0,0.0,80.0,81.0,11.0,50.0,3.0,2.0,39.0,1.0,1.0,3.0,4.0,2.0,65.0,1
1975.0,Master,Relationship,7500.0,1.0,0.0,19.0,3.0,1.0,10.0,3.0,2.0,12.0,3.0,2.0,0.0,3.0,5.0,49.0,0
1976.0,Graduation,Single,79941.0,0.0,0.0,72.0,123.0,8.0,266.0,12.0,30.0,24.0,1.0,2.0,4.0,9.0,1.0,48.0,1
1996.0,Foundational,Relationship,7500.0,0.0,0.0,24.0,3.0,18.0,14.0,15.0,22.0,50.0,3.0,3.0,1.0,3.0,9.0,28.0,0
1954.0,PhD,Relationship,72550.0,1.0,1.0,39.0,826.0,50.0,317.0,50.0,38.0,38.0,2.0,5.0,2.0,12.0,8.0,70.0,1
1957.0,Graduation,Single,65486.0,0.0,1.0,29.0,245.0,19.0,125.0,37.0,67.0,14.0,1.0,4.0,2.0,10.0,2.0,67.0,1
1964.0,Master,Relationship,79143.0,0.0,0.0,2.0,650.0,37.0,67.0,27.0,8.0,32.0,1.0,6.0,9.0,13.0,3.0,60.0,1
1977.0,Graduation,Single,35790.0,1.0,0.0,54.0,12.0,6.0,20.0,30.0,1.0,3.0,2.0,2.0,0.0,3.0,7.0,47.0,0
1977.0,Graduation,Single,82582.0,0.0,0.0,54.0,510.0,8.0,550.0,12.0,40.0,24.0,1.0,4.0,9.0,7.0,1.0,47.0,1
1978.0,Graduation,Relationship,66373.0,1.0,1.0,57.0,328.0,9.0,124.0,12.0,24.0,109.0,2.0,4.0,2.0,10.0,3.0,46.0,1
1955.0,Master,Relationship,82384.0,0.0,0.0,55.0,984.0,51.0,432.0,12.0,8.0,24.0,1.0,3.0,10.0,13.0,1.0,69.0,1
1966.0,Graduation,Single,70287.0,0.0,0.0,30.0,295.0,35.0,482.0,12.0,8.0,40.0,1.0,5.0,5.0,10.0,3.0,58.0,1
1988.0,Graduation,Single,27938.0,1.0,0.0,31.0,13.0,0.0,8.0,2.0,1.0,5.0,1.0,1.0,0.0,4.0,3.0,36.0,0
1982.0,Graduation,Single,52247.25135379061,1.0,0.0,57.0,11.0,3.0,22.0,2.0,2.0,6.0,2.0,2.0,0.0,3.0,6.0,42.0,1
1968.0,PhD,Relationship,55954.0,0.0,1.0,63.0,447.0,0.0,28.0,0.0,0.0,43.0,3.0,8.0,2.0,6.0,7.0,56.0,1
1982.0,Master,Single,75777.0,0.0,0.0,12.0,712.0,26.0,538.0,69.0,13.0,80.0,1.0,3.0,6.0,11.0,1.0,42.0,1
1975.0,Graduation,Relationship,66653.0,1.0,1.0,18.0,452.0,18.0,102.0,16.0,18.0,6.0,4.0,4.0,2.0,12.0,3.0,49.0,1
1952.0,Graduation,Single,61823.0,0.0,1.0,26.0,523.0,7.0,134.0,37.0,14.0,24.0,4.0,8.0,2.0,10.0,7.0,72.0,1
1951.0,PhD,Single,67680.0,0.0,1.0,8.0,546.0,0.0,48.0,0.0,6.0,6.0,1.0,7.0,3.0,8.0,5.0,73.0,1
1948.0,Graduation,Relationship,70666.0,0.0,0.0,29.0,398.0,40.0,367.0,119.0,8.0,30.0,1.0,7.0,4.0,4.0,4.0,76.0,1
1971.0,Graduation,Relationship,25721.0,1.0,0.0,75.0,1.0,3.0,6.0,3.0,6.0,15.0,1.0,1.0,1.0,2.0,7.0,53.0,0
1967.0,Graduation,Relationship,32474.0,1.0,1.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,7.0,57.0,0
1979.0,Foundational,Single,88194.0,0.0,1.0,19.0,688.0,14.0,309.0,12.0,24.0,38.0,1.0,11.0,10.0,10.0,5.0,45.0,1
1958.0,Graduation,Relationship,69096.0,0.0,1.0,4.0,247.0,49.0,159.0,7.0,8.0,109.0,1.0,5.0,2.0,10.0,4.0,66.0,1
1954.0,Master,Relationship,66991.0,0.0,0.0,1.0,496.0,36.0,460.0,12.0,60.0,12.0,3.0,4.0,8.0,6.0,3.0,70.0,1
1973.0,Foundational,Relationship,52247.25135379061,1.0,0.0,25.0,25.0,3.0,43.0,17.0,4.0,17.0,3.0,3.0,0.0,3.0,8.0,51.0,1
1959.0,Graduation,Relationship,65031.0,0.0,1.0,29.0,258.0,8.0,291.0,84.0,37.0,86.0,4.0,10.0,3.0,13.0,7.0,65.0,1
1975.0,PhD,Relationship,60631.0,1.0,1.0,88.0,565.0,6.0,65.0,0.0,6.0,19.0,5.0,9.0,2.0,8.0,7.0,49.0,1
1952.0,Graduation,Relationship,28332.0,0.0,0.0,58.0,14.0,10.0,13.0,4.0,15.0,9.0,1.0,2.0,1.0,4.0,2.0,72.0,0
1977.0,Graduation,Single,40246.0,1.0,0.0,68.0,2.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,6.0,47.0,0
1972.0,Master,Relationship,75251.0,0.0,0.0,34.0,721.0,8.0,67.0,97.0,18.0,18.0,1.0,7.0,6.0,5.0,5.0,52.0,1
1976.0,Graduation,Single,75825.0,0.0,0.0,40.0,1032.0,8.0,67.0,12.0,8.0,51.0,0.0,5.0,8.0,9.0,4.0,48.0,1
1976.0,Foundational,Relationship,26326.0,0.0,0.0,12.0,1.0,0.0,5.0,0.0,3.0,9.0,1.0,0.0,0.0,3.0,3.0,48.0,0
1965.0,Graduation,Relationship,56046.0,0.0,0.0,9.0,577.0,0.0,64.0,0.0,0.0,51.0,2.0,10.0,1.0,8.0,8.0,59.0,1
1985.0,Graduation,Single,29760.0,1.0,0.0,87.0,64.0,4.0,68.0,7.0,5.0,17.0,4.0,3.0,1.0,4.0,8.0,39.0,0
1969.0,Graduation,Relationship,26304.0,1.0,0.0,5.0,4.0,1.0,5.0,2.0,0.0,4.0,1.0,1.0,0.0,2.0,7.0,55.0,0
1973.0,Foundational,Relationship,23559.0,1.0,0.0,87.0,25.0,5.0,19.0,7.0,0.0,23.0,3.0,3.0,0.0,3.0,7.0,51.0,0
1963.0,Master,Relationship,38620.0,0.0,0.0,56.0,112.0,17.0,44.0,34.0,22.0,89.0,1.0,2.0,5.0,3.0,3.0,61.0,0
1987.0,Graduation,Single,81361.0,0.0,0.0,18.0,163.0,23.0,424.0,27.0,65.0,76.0,1.0,3.0,10.0,13.0,1.0,37.0,1
1970.0,Master,Relationship,36138.0,1.0,1.0,48.0,130.0,0.0,16.0,0.0,0.0,5.0,5.0,3.0,1.0,4.0,7.0,54.0,0
1957.0,Graduation,Single,50388.0,0.0,1.0,3.0,292.0,6.0,37.0,0.0,3.0,34.0,4.0,6.0,1.0,6.0,7.0,67.0,0
1973.0,Graduation,Relationship,79593.0,0.0,0.0,70.0,350.0,60.0,67.0,110.0,8.0,24.0,1.0,5.0,6.0,7.0,2.0,51.0,1
1967.0,Graduation,Relationship,54178.0,0.0,1.0,79.0,135.0,9.0,39.0,4.0,0.0,7.0,1.0,2.0,2.0,5.0,2.0,57.0,1
1957.0,PhD,Relationship,52247.25135379061,2.0,1.0,4.0,230.0,42.0,192.0,49.0,37.0,53.0,2.0,7.0,2.0,8.0,9.0,67.0,1
1957.0,Graduation,Single,52247.25135379061,1.0,1.0,45.0,7.0,0.0,8.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,7.0,67.0,1
1973.0,Master,Relationship,52247.25135379061,0.0,0.0,87.0,445.0,37.0,359.0,98.0,28.0,18.0,1.0,2.0,4.0,8.0,1.0,51.0,1
1972.0,Master,Single,42394.0,1.0,0.0,69.0,15.0,2.0,10.0,0.0,1.0,4.0,1.0,1.0,0.0,3.0,7.0,52.0,0
1970.0,PhD,Relationship,23626.0,1.0,0.0,84.0,27.0,2.0,14.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,5.0,54.0,0
1983.0,Graduation,Relationship,30096.0,1.0,0.0,30.0,5.0,3.0,11.0,12.0,5.0,9.0,1.0,2.0,0.0,3.0,6.0,41.0,0
1960.0,Graduation,Single,47916.0,0.0,1.0,72.0,505.0,0.0,26.0,0.0,0.0,75.0,5.0,7.0,4.0,6.0,6.0,64.0,0
1972.0,Graduation,Single,51813.0,1.0,1.0,37.0,51.0,2.0,7.0,0.0,1.0,2.0,2.0,2.0,0.0,3.0,7.0,52.0,1
1951.0,Foundational,Relationship,78497.0,0.0,0.0,44.0,207.0,26.0,447.0,75.0,0.0,24.0,1.0,5.0,7.0,12.0,2.0,73.0,1
1983.0,PhD,Relationship,50150.0,0.0,0.0,32.0,135.0,46.0,92.0,65.0,61.0,11.0,2.0,5.0,2.0,7.0,5.0,41.0,0
1960.0,Foundational,Single,47823.0,0.0,1.0,0.0,53.0,1.0,5.0,2.0,1.0,10.0,2.0,2.0,0.0,3.0,8.0,64.0,0
1959.0,PhD,Single,34554.0,0.0,1.0,43.0,41.0,1.0,6.0,2.0,0.0,5.0,2.0,2.0,0.0,3.0,6.0,65.0,0
1979.0,Graduation,Relationship,85693.0,0.0,1.0,59.0,386.0,8.0,183.0,12.0,8.0,111.0,2.0,9.0,5.0,11.0,5.0,45.0,1
1945.0,PhD,Relationship,65846.0,0.0,0.0,68.0,562.0,81.0,276.0,80.0,40.0,81.0,1.0,6.0,3.0,6.0,4.0,79.0,1
1959.0,Graduation,Relationship,87195.0,0.0,0.0,35.0,217.0,76.0,67.0,50.0,26.0,38.0,1.0,3.0,2.0,5.0,1.0,65.0,1
1964.0,Graduation,Relationship,49096.0,1.0,1.0,15.0,144.0,1.0,32.0,2.0,1.0,7.0,4.0,4.0,1.0,4.0,7.0,60.0,0
1969.0,Graduation,Relationship,52413.0,0.0,2.0,56.0,295.0,8.0,271.0,75.0,8.0,65.0,4.0,6.0,4.0,12.0,6.0,55.0,1
1978.0,Graduation,Single,38557.0,1.0,0.0,17.0,76.0,3.0,31.0,4.0,4.0,27.0,2.0,3.0,1.0,3.0,7.0,46.0,0
1960.0,Master,Relationship,89058.0,0.0,0.0,18.0,454.0,8.0,106.0,31.0,22.0,43.0,1.0,5.0,4.0,4.0,2.0,64.0,1
1979.0,Graduation,Relationship,77298.0,0.0,1.0,46.0,425.0,8.0,292.0,23.0,35.0,79.0,1.0,6.0,6.0,11.0,3.0,45.0,1
1991.0,PhD,Single,68126.0,0.0,0.0,40.0,173.5,17.0,311.0,23.0,51.0,86.0,1.0,7.0,4.0,5.0,9.0,33.0,1
1963.0,Master,Relationship,57288.0,0.0,1.0,27.0,527.0,0.0,21.0,0.0,0.0,60.0,3.0,8.0,1.0,8.0,6.0,61.0,1
1980.0,PhD,Relationship,43974.0,1.0,0.0,19.0,378.0,0.0,101.0,0.0,0.0,72.0,5.0,6.0,4.0,6.0,7.0,44.0,0
1962.0,Graduation,Single,50785.0,1.0,1.0,27.0,64.0,1.0,21.0,0.0,1.0,27.0,2.0,2.0,1.0,3.0,6.0,62.0,0
1970.0,Graduation,Relationship,90765.0,0.0,0.0,25.0,547.0,8.0,67.0,12.0,8.0,33.0,0.0,4.0,6.0,5.0,1.0,54.0,1
1978.0,Foundational,Relationship,36550.0,1.0,0.0,74.0,47.0,8.0,94.0,12.0,8.0,120.0,5.0,9.0,1.0,5.0,9.0,46.0,0
1967.0,Foundational,Relationship,30753.0,1.0,1.0,85.0,12.0,5.0,25.0,0.0,9.0,30.0,2.0,1.0,1.0,3.0,5.0,57.0,0
1969.0,Graduation,Relationship,21918.0,1.0,0.0,37.0,1.0,6.0,7.0,11.0,5.0,3.0,2.0,2.0,0.0,3.0,6.0,55.0,0
1953.0,Master,Relationship,56129.0,0.0,1.0,65.0,320.0,48.0,133.0,39.0,72.0,48.0,4.0,6.0,2.0,10.0,4.0,71.0,1
1967.0,Master,Single,32557.0,1.0,0.0,13.0,34.0,3.0,29.0,0.0,4.0,10.0,3.0,2.0,1.0,3.0,5.0,57.0,0
1985.0,Master,Relationship,19510.0,2.0,0.0,63.0,9.0,0.0,7.0,3.0,4.0,7.0,2.0,1.0,0.0,3.0,7.0,39.0,0
1976.0,Graduation,Single,30992.0,1.0,0.0,83.0,17.0,0.0,14.0,7.0,3.0,2.0,1.0,1.0,0.0,3.0,7.0,48.0,0
1983.0,Graduation,Single,101970.0,0.0,0.0,69.0,722.0,27.0,102.0,44.0,72.0,24.0,0.0,6.0,8.0,13.0,2.0,41.0,1
1965.0,Foundational,Relationship,71488.0,0.0,0.0,87.0,162.0,33.0,124.0,40.0,28.0,24.0,2.0,3.0,4.0,7.0,1.0,59.0,1
1984.0,Graduation,Single,79607.0,0.0,0.0,37.0,450.0,8.0,67.0,12.0,0.0,24.0,1.0,3.0,6.0,6.0,1.0,40.0,1
1953.0,Master,Relationship,54348.0,1.0,1.0,51.0,70.0,0.0,16.0,0.0,0.0,4.0,2.0,2.0,0.0,4.0,6.0,71.0,1
1961.0,PhD,Relationship,52247.25135379061,0.0,1.0,23.0,352.0,0.0,27.0,10.0,0.0,15.0,3.0,6.0,1.0,7.0,6.0,63.0,1
1956.0,PhD,Relationship,77376.0,1.0,1.0,72.0,492.0,19.0,110.0,16.0,12.0,12.0,4.0,6.0,3.0,10.0,4.0,68.0,1
1952.0,Graduation,Relationship,62998.0,0.0,1.0,10.0,120.0,58.0,73.0,65.0,8.0,58.0,5.0,5.0,4.0,5.0,5.0,72.0,1
1958.0,Master,Single,61331.0,1.0,1.0,42.0,534.0,5.0,47.0,0.0,5.0,41.0,5.0,11.0,1.0,6.0,8.0,66.0,1
1969.0,Graduation,Relationship,73448.0,0.0,0.0,10.0,236.0,8.0,189.0,23.0,41.0,24.0,1.0,7.0,2.0,9.0,4.0,55.0,1
1964.0,PhD,Relationship,41551.0,1.0,1.0,51.0,220.0,0.0,33.0,3.0,0.0,23.0,5.0,5.0,1.0,5.0,8.0,60.0,0
1967.0,PhD,Relationship,62981.0,0.0,0.0,21.0,796.0,14.0,67.0,38.0,44.0,0.0,1.0,4.0,5.0,13.0,3.0,57.0,1
1976.0,Foundational,Single,9548.0,1.0,0.0,31.0,0.0,1.0,3.0,10.0,6.0,9.0,2.0,1.0,0.0,3.0,8.0,48.0,0
1959.0,PhD,Relationship,33762.0,2.0,1.0,61.0,53.0,1.0,34.0,2.0,0.0,16.0,3.0,2.0,2.0,2.0,8.0,65.0,0
1973.0,PhD,Single,35860.0,1.0,1.0,37.0,15.0,0.0,8.0,4.0,2.0,20.0,2.0,1.0,1.0,2.0,5.0,51.0,0
1965.0,PhD,Single,36921.0,1.0,1.0,74.0,17.0,1.0,12.0,3.0,1.0,4.0,2.0,2.0,0.0,3.0,7.0,59.0,0
1992.0,Master,Single,92859.0,0.0,0.0,46.0,962.0,61.0,67.0,52.0,61.0,20.0,1.0,5.0,4.0,12.0,2.0,32.0,1
1976.0,Master,Relationship,65104.0,0.0,1.0,4.0,738.0,0.0,232.0,13.0,20.0,50.0,2.0,3.0,5.0,7.0,7.0,48.0,1
1962.0,Graduation,Relationship,86111.0,0.0,0.0,73.0,399.0,28.0,67.0,36.0,40.0,126.0,1.0,5.0,7.0,10.0,2.0,62.0,1
1974.0,PhD,Single,68352.0,0.0,1.0,47.0,614.0,16.0,132.0,43.0,33.0,33.0,3.0,8.0,5.0,9.0,6.0,50.0,1
1988.0,Graduation,Relationship,41883.0,1.0,0.0,13.0,32.0,34.0,41.0,73.0,16.0,116.0,3.0,4.0,2.0,3.0,7.0,36.0,0
1976.0,Graduation,Relationship,59809.0,0.0,2.0,36.0,598.0,16.0,141.0,32.0,41.0,49.0,3.0,3.0,3.0,6.0,8.0,48.0,1
1975.0,Graduation,Relationship,23957.0,1.0,0.0,47.0,2.0,1.0,18.0,20.0,11.0,16.0,1.0,2.0,0.0,3.0,6.0,49.0,0
1981.0,Graduation,Relationship,38547.0,1.0,0.0,49.0,6.0,1.0,10.0,0.0,1.0,4.0,1.0,1.0,0.0,2.0,8.0,43.0,0
1966.0,Master,Relationship,49605.0,0.0,0.0,65.0,42.0,16.0,29.0,12.0,20.0,8.0,1.0,2.0,1.0,4.0,3.0,58.0,0
1953.0,Master,Relationship,59354.0,0.0,2.0,59.0,295.0,21.0,78.0,39.0,13.0,13.0,1.0,4.0,4.0,7.0,3.0,71.0,1
1972.0,Foundational,Relationship,46344.0,0.0,1.0,28.0,233.0,20.0,57.0,8.0,20.0,91.0,4.0,7.0,1.0,5.0,7.0,52.0,0
1988.0,Graduation,Single,34176.0,1.0,0.0,12.0,5.0,7.0,24.0,19.0,14.0,20.0,4.0,3.0,0.0,4.0,6.0,36.0,0
1952.0,PhD,Relationship,61010.0,0.0,1.0,57.0,888.0,0.0,57.0,0.0,0.0,76.0,2.0,8.0,5.0,11.0,5.0,72.0,1
1949.0,Graduation,Relationship,69372.0,0.0,0.0,10.0,997.0,26.0,269.0,34.0,13.0,42.0,1.0,10.0,4.0,6.0,4.0,75.0,1
1958.0,Graduation,Single,49967.0,0.0,1.0,4.0,212.0,6.0,69.0,4.0,12.0,3.0,3.0,6.0,1.0,5.0,7.0,66.0,0
1978.0,Graduation,Single,60199.0,1.0,2.0,49.0,8.0,1.0,7.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,46.0,1
1977.0,Graduation,Relationship,55375.0,0.0,1.0,3.0,42.0,11.0,57.0,10.0,28.0,14.0,1.0,1.0,1.0,6.0,2.0,47.0,1
1955.0,Graduation,Single,80317.0,0.0,0.0,64.0,536.0,11.0,387.0,12.0,8.0,57.0,1.0,3.0,4.0,10.0,1.0,69.0,1
1958.0,Master,Single,30523.0,2.0,1.0,0.0,5.0,0.0,3.0,0.0,0.0,5.0,1.0,1.0,0.0,2.0,7.0,66.0,0
1945.0,PhD,Relationship,70356.0,0.0,0.0,20.0,173.5,16.0,249.0,43.0,16.0,33.0,2.0,10.0,6.0,9.0,6.0,79.0,1
1975.0,PhD,Single,74165.0,0.0,0.0,9.0,1001.0,12.0,240.0,16.0,12.0,12.0,1.0,5.0,4.0,10.0,2.0,49.0,1
1966.0,Graduation,Relationship,43482.0,2.0,1.0,83.0,18.0,1.0,32.0,6.0,3.0,28.0,3.0,2.0,0.0,4.0,6.0,58.0,0
1953.0,Graduation,Single,62551.0,0.0,0.0,27.0,125.0,16.0,98.0,12.0,21.0,27.0,1.0,6.0,7.0,4.0,3.0,71.0,1
1959.0,Graduation,Single,52332.0,0.0,0.0,63.0,212.0,5.0,33.0,7.0,0.0,2.0,1.0,3.0,2.0,6.0,4.0,65.0,1
1988.0,Graduation,Single,66951.0,0.0,0.0,46.0,277.0,8.0,305.0,12.0,76.0,124.0,1.0,3.0,4.0,7.0,1.0,36.0,1
1957.0,Graduation,Relationship,26091.0,1.0,1.0,84.0,15.0,10.0,19.0,8.0,17.0,20.0,3.0,2.0,1.0,3.0,5.0,67.0,0
1965.0,Graduation,Relationship,33456.0,1.0,1.0,58.0,7.0,3.0,10.0,8.0,1.0,7.0,2.0,1.0,0.0,3.0,7.0,59.0,0
1982.0,Graduation,Relationship,28718.0,1.0,0.0,78.0,12.0,4.0,6.0,11.0,8.0,16.0,2.0,2.0,0.0,3.0,8.0,42.0,0
1970.0,Graduation,Relationship,50447.0,2.0,0.0,4.0,85.0,7.0,24.0,2.0,3.0,27.0,1.0,3.0,1.0,3.0,6.0,54.0,0
1959.0,PhD,Relationship,53537.0,1.0,1.0,17.0,81.0,0.0,6.0,0.0,0.0,6.0,2.0,2.0,1.0,3.0,5.0,65.0,1
1967.0,Graduation,Single,52074.0,0.0,1.0,77.0,59.0,0.0,12.0,0.0,0.0,48.0,1.0,2.0,2.0,2.0,4.0,57.0,1
1975.0,PhD,Relationship,80427.0,0.0,1.0,56.0,1149.0,71.0,449.0,69.0,71.0,26.0,1.0,11.0,8.0,8.0,5.0,49.0,1
1948.0,PhD,Relationship,83837.0,0.0,0.0,79.0,847.0,66.0,119.0,86.0,8.0,111.0,1.0,9.0,10.0,5.0,4.0,76.0,1
1951.0,Foundational,Relationship,78497.0,0.0,0.0,44.0,207.0,26.0,447.0,75.0,0.0,24.0,1.0,5.0,7.0,12.0,2.0,73.0,1
1976.0,PhD,Relationship,51650.0,0.0,1.0,81.0,152.0,3.0,22.0,2.0,5.0,7.0,1.0,4.0,1.0,4.0,5.0,48.0,1
1988.0,Foundational,Relationship,16248.0,1.0,0.0,77.0,12.0,11.0,10.0,3.0,12.0,9.0,3.0,2.0,1.0,3.0,6.0,36.0,0
1946.0,Master,Relationship,66835.0,0.0,0.0,21.0,620.0,26.0,195.0,34.0,17.0,24.0,1.0,6.0,4.0,13.0,2.0,78.0,1
1984.0,Master,Relationship,30477.0,1.0,0.0,16.0,47.0,1.0,6.0,0.0,0.0,12.0,1.0,1.0,1.0,3.0,6.0,40.0,0
1961.0,Foundational,Relationship,28249.0,0.0,0.0,80.0,1.0,9.0,7.0,2.0,14.0,10.0,1.0,2.0,0.0,3.0,6.0,63.0,0
1983.0,Graduation,Relationship,25271.0,1.0,0.0,45.0,10.0,1.0,18.0,10.0,4.0,7.0,1.0,1.0,1.0,2.0,9.0,41.0,0
