,ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response
11,-0.9057058665952317,0.3333333333333333,Basic,Married,-1.3209759474999248,0.0,0.0,13-11-2012,0.2,-0.3485952133194589,0.25,-0.25925925925925924,-0.02127659574468085,-0.21875,-0.1702127659574468,-0.5,-0.5,-0.5,-0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,-0.5953210108045361,-0.6111111111111112,Graduation,Divorced,0.3507480658659201,0.0,0.0,15-11-2013,0.66,0.04266389177939646,1.65625,1.912037037037037,4.531914893617022,3.25,0.1276595744680851,-0.5,-0.25,0.5,0.6,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.4860255379944638,-1.0,Master,Divorced,0.2399981938047503,1.0,1.0,15-11-2013,0.08,0.12382934443288242,-0.1875,-0.06481481481481481,-0.19148936170212766,-0.09375,-0.2127659574468085,0.5,0.5,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,-0.5160282168050718,0.9444444444444444,Graduation,Married,-1.0252716818688101,0.0,0.0,10-10-2012,-0.22,-0.3548387096774194,0.1875,-0.23148148148148148,-0.1276595744680851,-0.21875,-0.40425531914893614,-0.5,-0.75,-0.5,-0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,-0.5972854719171354,-1.3333333333333333,PhD,Single,0.9457990908817243,0.0,0.0,24-11-2012,-0.52,1.732570239334027,0.4375,0.2222222222222222,1.0,1.875,0.44680851063829785,-0.5,0.75,1.0,1.4,-0.75,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
16,0.763907491740334,0.5555555555555556,Graduation,Married,-0.28692916704295734,1.0,1.0,24-12-2012,0.04,-0.25078043704474506,-0.09375,-0.2222222222222222,-0.2127659574468085,0.15625,-0.425531914893617,0.5,-0.25,-0.5,-0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,-0.09277614072685061,-1.3333333333333333,Graduation,Together,-0.41005147656461666,0.0,0.0,31-08-2012,-0.58,-0.186264308012487,-0.09375,-0.13425925925925927,2.9361702127659575,0.125,0.0851063829787234,0.0,0.0,-0.25,0.2,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.19760692919010625,-1.1666666666666667,Master,Married,0.7710497004726211,0.0,1.0,28-03-2013,0.84,1.745057232049948,2.25,1.9953703703703705,-0.2553191489361702,0.25,3.234042553191489,0.0,1.75,0.5,0.8,-0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
19,-0.5679971426020181,0.8333333333333334,2n Cycle,Single,-0.5288991239953039,1.0,0.0,03-11-2012,0.74,-0.35275754422476585,0.28125,-0.2222222222222222,0.3829787234042553,0.5,0.3191489361702128,0.0,-0.5,-0.25,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.6967586391642111,0.6666666666666666,Graduation,Married,-0.43172581956109457,0.0,0.0,08-08-2012,-0.16,-0.18210197710718,-0.1875,0.027777777777777776,1.2127659574468086,0.9375,0.5106382978723404,-0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,-0.014733458344495045,0.5,Graduation,Married,-1.4730876907793733,1.0,0.0,06-01-2013,-0.14,-0.3590010405827263,-0.21875,7.675925925925926,-0.23404255319148937,-0.21875,-0.48936170212765956,6.5,-1.0,6.5,-1.0,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,-0.6188945441557282,-1.1666666666666667,PhD,Married,0.21751106294590444,0.0,1.0,23-12-2012,0.28,1.4432882414151924,-0.25,0.08796296296296297,-0.2553191489361702,-0.25,-0.10638297872340426,0.5,-0.5,0.25,0.8,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,-0.25207607822126976,-0.8888888888888888,PhD,Married,0.41971462115054636,0.0,1.0,11-01-2014,-0.98,0.4380853277835588,-0.25,0.16203703703703703,0.19148936170212766,0.75,-0.40425531914893614,0.5,0.5,0.0,0.8,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,-0.7231895704973659,-1.0555555555555556,Graduation,Together,-0.321879045124778,0.0,1.0,18-03-2013,0.4,0.2008324661810614,-0.15625,-0.18518518518518517,0.574468085106383,-0.0625,1.5957446808510638,2.5,0.75,-0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.4345923743191356,-0.05555555555555555,Graduation,Single,-0.987160962100003,0.0,0.0,02-01-2013,0.8,-0.3485952133194589,-0.125,-0.19444444444444445,0.06382978723404255,0.125,-0.23404255319148937,0.0,-0.5,-0.25,-0.4,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,-0.545495133494062,0.3333333333333333,Graduation,Married,0.05952918510490984,1.0,1.0,27-05-2013,-0.9,-0.001040582726326743,-0.125,-0.1712962962962963,-0.19148936170212766,-0.0625,0.3617021276595745,1.0,0.25,-0.25,-0.2,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.7078310563443164,1.0555555555555556,Graduation,Married,-0.3919895240675517,1.0,0.0,31-05-2013,-0.46,-0.2861602497398543,-0.1875,-0.11574074074074074,0.1702127659574468,0.40625,-0.2978723404255319,0.0,-0.5,-0.25,-0.2,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,-0.6237164032502902,-0.2777777777777778,PhD,Married,1.000526806947831,0.0,0.0,22-11-2013,0.94,1.0624349635796047,2.875,3.3981481481481484,0.19148936170212766,1.8125,-0.5106382978723404,-0.5,0.5,1.75,1.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.25100455397803373,1.0555555555555556,Master,Divorced,-1.2162467262711099,0.0,0.0,22-05-2014,-0.3,-0.34443288241415193,-0.125,-0.2638888888888889,-0.2127659574468085,-0.1875,-0.425531914893617,0.0,-0.25,-0.5,-0.4,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,-0.4331636753281543,-0.3888888888888889,Master,Together,-0.38416267798549025,0.0,0.0,11-05-2013,0.14,-0.1279916753381894,0.28125,-0.10648148148148148,0.46808510638297873,0.4375,1.3829787234042554,-0.5,-0.5,0.75,-0.4,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.044914724528975804,0.0,Graduation,Together,-0.32612360396158824,0.0,1.0,10-10-2012,-0.36,-0.13215400624349635,-0.25,-0.28703703703703703,-0.2127659574468085,-0.25,-0.44680851063829785,0.0,-0.5,-0.25,-0.2,-0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.34190552727922136,-1.0,PhD,Divorced,-0.14363767723290888,0.0,2.0,29-10-2012,-0.82,-0.16129032258064516,0.125,0.13425925925925927,0.44680851063829785,0.4375,0.40425531914893614,2.0,0.0,-0.25,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34,0.5887132779712474,-1.3333333333333333,Master,Married,0.5200487672717421,0.0,0.0,20-02-2013,-0.9,0.6420395421436004,0.8125,1.8703703703703705,2.276595744680851,1.875,-0.0425531914893617,-0.5,-0.25,0.75,0.8,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.9428520403607465,-1.0555555555555556,Master,Single,-0.059980733917336465,1.0,1.0,29-08-2013,0.12,-0.2778355879292404,-0.25,-0.2222222222222222,-0.2127659574468085,-0.21875,-0.44680851063829785,-0.5,-0.5,-0.5,-0.4,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,-0.19992856505045092,0.0,PhD,Married,0.48079412384478765,0.0,1.0,31-12-2013,-0.24,1.0998959417273673,0.28125,0.3888888888888889,-0.2553191489361702,0.0,0.23404255319148937,1.5,0.25,1.0,1.4,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.9458880257165818,0.3333333333333333,2n Cycle,Married,-0.8327613715042597,1.0,0.0,02-09-2013,0.54,-0.3485952133194589,-0.15625,-0.24537037037037038,0.06382978723404255,-0.03125,0.2553191489361702,0.5,-0.25,-0.25,-0.6,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.5601392981516207,0.16666666666666666,Graduation,Widow,-0.2694993828832897,0.0,1.0,11-02-2014,1.0,-0.24661810613943808,-0.25,-0.2824074074074074,-0.2127659574468085,-0.25,-0.425531914893617,0.0,-0.75,-0.25,-0.4,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,-0.44477185462987767,-1.5,PhD,Divorced,-0.07325626900267919,0.0,0.0,01-02-2013,0.08,0.5483870967741935,0.0,0.6435185185185185,3.148936170212766,1.28125,0.3829787234042553,0.0,0.75,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
40,0.5612108223948566,0.5555555555555556,Graduation,Married,0.8618411150245342,0.0,1.0,29-04-2013,-0.92,0.5150884495317378,2.125,2.1712962962962963,1.4893617021276595,5.3125,1.6595744680851063,0.0,1.0,1.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,-0.8849897312260023,0.8333333333333334,Master,Married,-0.9278575514013064,1.0,0.0,12-03-2013,0.78,-0.3340270551508845,-0.21875,-0.17592592592592593,-0.19148936170212766,-0.25,-0.3617021276595745,0.0,-0.5,-0.5,-0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.5306723814626306,-0.7222222222222222,Graduation,Together,-0.8846593816791595,0.0,1.0,24-12-2012,-0.9,-0.34235171696149846,-0.25,-0.2824074074074074,-0.19148936170212766,-0.21875,-0.44680851063829785,-0.5,-1.0,-0.5,-0.4,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,-0.5928207875703188,0.2777777777777778,Master,Married,-1.3209759474999248,1.0,0.0,02-10-2013,-0.6,-0.3548387096774194,-0.21875,-0.2638888888888889,-0.19148936170212766,-0.1875,-0.2553191489361702,0.5,-0.5,-0.5,-0.4,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,-0.7299758907045272,0.3333333333333333,Graduation,Single,0.8597338872332099,0.0,0.0,28-06-2014,0.46,-0.10509885535900104,4.875,0.9212962962962963,4.574468085106383,0.6875,3.1914893617021276,-0.5,-0.5,0.5,0.8,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.7948031074203054,1.4444444444444444,2n Cycle,Married,-1.3209759474999248,0.0,0.0,09-11-2012,-0.5,-0.3548387096774194,0.3125,-0.24537037037037038,0.06382978723404255,0.4375,0.5531914893617021,0.5,-0.25,-0.25,-0.4,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
47,0.3263684257522993,-0.1111111111111111,Graduation,Together,-0.2906017640506939,1.0,0.0,24-05-2013,0.86,-0.3340270551508845,-0.0625,-0.24074074074074073,-0.19148936170212766,-0.09375,-0.23404255319148937,-0.5,-0.5,-0.5,-0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.1977855165639789,-0.8888888888888888,PhD,Married,0.6372407357235317,1.0,1.0,08-11-2012,-0.2,1.3579604578563995,1.3125,1.1574074074074074,0.8085106382978723,0.9375,0.2978723404255319,3.5,0.25,0.0,1.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.5635324582552014,-0.7222222222222222,Graduation,Widow,0.4245913483247539,0.0,1.0,12-05-2014,-0.4,0.14880332986472425,0.34375,0.26851851851851855,0.5319148936170213,1.84375,-0.2127659574468085,-0.5,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,-0.24011072417180104,-0.3333333333333333,Master,Married,0.8357114904121136,0.0,0.0,11-08-2012,-0.94,0.991675338189386,0.90625,3.300925925925926,0.3191489361702128,4.96875,0.1702127659574468,-0.5,0.5,1.75,1.6,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,-0.7371193856594339,0.3888888888888889,Graduation,Single,-0.46935488726331315,1.0,0.0,02-01-2013,0.1,-0.33610822060353795,-0.0625,-0.2175925925925926,0.3829787234042553,-0.21875,-0.44680851063829785,0.0,-0.5,-0.5,-0.4,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,-0.5774622734172694,0.3888888888888889,Graduation,Divorced,0.9392365814744574,0.0,0.0,07-06-2014,0.1,0.700312174817898,3.5,2.236111111111111,3.0638297872340425,1.0,4.617021276595745,-0.5,0.0,1.75,0.4,-1.25,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
54,0.7005089740155371,0.4444444444444444,Graduation,Married,0.4512929347662482,1.0,1.0,12-06-2013,0.16,0.3215400624349636,0.03125,0.2638888888888889,0.0,0.5,1.8085106382978724,2.5,0.0,0.0,1.0,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.14313778015894277,-0.8333333333333334,Master,Together,0.933276137150426,0.0,0.0,19-11-2012,0.12,1.6867845993756503,1.34375,1.6898148148148149,3.574468085106383,3.5,3.5319148936170213,-0.5,-0.25,2.0,1.6,-1.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
56,0.8794535226359497,-0.2222222222222222,Graduation,Divorced,0.5691170715554351,0.0,0.0,02-04-2013,-0.38,0.25286160249739853,0.84375,1.9212962962962963,2.3191489361702127,3.5,0.3404255319148936,-0.5,0.25,0.75,1.0,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
57,0.35333511920707206,1.0,Graduation,Single,-0.7057256389415696,1.0,0.0,28-04-2014,-0.36,-0.3340270551508845,-0.25,-0.27314814814814814,-0.2127659574468085,-0.21875,-0.40425531914893614,-0.5,-0.75,-0.5,-0.2,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,0.520850075899634,-0.1111111111111111,PhD,Married,0.13764712965471568,0.0,1.0,03-03-2014,0.28,0.5691987513007284,-0.25,-0.18055555555555555,-0.2553191489361702,-0.25,0.40425531914893614,0.5,1.0,0.0,0.2,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,0.2490400928654344,0.6666666666666666,Master,Single,0.7343839369035793,0.0,0.0,04-07-2013,-0.74,1.1207075962539021,0.5625,2.1805555555555554,1.2127659574468086,0.15625,1.1914893617021276,-0.5,-0.25,1.0,1.2,-1.25,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
61,-0.42548441825162964,0.2777777777777778,Graduation,Together,0.4597218459315452,1.0,1.0,07-09-2012,-0.62,0.5796045785639958,0.3125,0.16203703703703703,0.0851063829787234,0.3125,-0.3829787234042553,1.0,0.0,0.0,1.4,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,-0.7940887579248147,-1.0,Graduation,Single,0.3143231283301725,0.0,1.0,18-02-2013,-0.46,0.7273673257023934,-0.03125,0.3101851851851852,0.5319148936170213,0.1875,3.0851063829787235,1.0,1.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,0.1892133226180909,-1.0555555555555556,PhD,Widow,0.490637887955688,0.0,1.0,11-06-2013,-0.82,0.7752341311134235,-0.25,-0.08796296296296297,-0.2553191489361702,-0.0625,-0.3829787234042553,-0.5,0.75,0.25,0.6,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,-0.2360032145727297,-1.2222222222222223,Graduation,Together,0.5805262048827479,0.0,0.0,06-12-2013,-0.4,0.4672216441207076,1.0,1.3888888888888888,2.276595744680851,3.5625,0.1276595744680851,-0.5,0.75,0.5,-0.2,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,0.4685239753549424,0.05555555555555555,Graduation,Married,-0.7724645534182245,1.0,0.0,21-05-2013,0.52,-0.3590010405827263,-0.15625,-0.2824074074074074,-0.19148936170212766,-0.0625,-0.19148936170212766,-0.5,-0.75,-0.25,-0.6,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
66,-0.7272970800964372,-0.16666666666666666,Graduation,Together,-0.5691772780637587,1.0,1.0,11-05-2014,-0.98,-0.34027055150884494,-0.25,-0.3055555555555556,-0.2553191489361702,-0.25,-0.5106382978723404,-0.5,-0.75,-0.5,-0.6,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,0.6983659255290651,0.5,2n Cycle,Single,1.108176043830338,0.0,1.0,19-03-2014,-0.6,1.0707596253902185,0.1875,1.1203703703703705,4.0212765957446805,0.5,0.2978723404255319,-0.5,1.75,2.0,1.0,-0.25,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
68,-0.17528350745602286,-0.6666666666666666,Graduation,Together,0.5332640958487612,0.0,1.0,27-09-2013,-0.9,0.1529656607700312,1.28125,0.42592592592592593,-0.10638297872340426,2.3125,1.8085106382978724,-0.5,0.25,0.0,1.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,-0.7324761139387446,0.0,Graduation,Together,0.706598633312261,1.0,2.0,08-04-2013,0.82,1.4203954214360042,1.59375,1.9444444444444444,0.9787234042553191,0.65625,1.0425531914893618,2.5,-0.5,0.75,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,-0.7244396821144745,-0.8888888888888888,Master,Married,0.4698967458382251,0.0,0.0,11-09-2012,-0.96,0.6711758584807492,0.875,1.8194444444444444,3.765957446808511,1.625,-0.2553191489361702,0.5,0.0,1.5,0.2,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,0.15242432360032146,-0.6111111111111112,Graduation,Married,0.41089436768114634,0.0,1.0,17-03-2013,-0.4,0.17585848074921956,3.09375,1.037037037037037,1.5319148936170213,0.90625,1.3191489361702127,1.0,1.5,0.25,1.6,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,0.47745334404857576,0.2777777777777778,PhD,Married,0.2784400493693368,1.0,1.0,05-04-2013,0.78,0.8147762747138397,-0.0625,-0.009259259259259259,-0.2553191489361702,-0.0625,-0.10638297872340426,1.5,1.25,0.0,0.6,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,-0.7873024377176534,-1.0,Graduation,Married,-0.6938649568018302,0.0,0.0,30-04-2014,0.18,-0.331945889698231,0.0625,-0.25,-0.1702127659574468,0.21875,-0.3191489361702128,-0.5,-0.5,-0.25,-0.2,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,0.06920260737565855,0.3888888888888889,Graduation,Divorced,-0.3352147867184443,1.0,0.0,19-12-2012,0.38,-0.35691987513007284,-0.21875,-0.2824074074074074,-0.2127659574468085,-0.21875,-0.48936170212765956,-0.5,-0.75,-0.5,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,-0.6428252522546656,0.1111111111111111,Master,Married,0.7185496252144857,0.0,0.0,27-08-2012,-0.3,1.1394380853277835,3.21875,3.9722222222222223,1.8085106382978724,0.3125,-0.1276595744680851,-0.5,0.75,1.0,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
77,0.3651218858826681,0.3333333333333333,Graduation,Single,0.7358288931033444,0.0,0.0,12-10-2012,-0.18,1.7866805411030178,3.03125,3.2962962962962963,2.6595744680851063,3.03125,0.574468085106383,-1.0,0.25,1.5,0.8,-0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
78,0.8826680953656576,0.3333333333333333,2n Cycle,Together,-0.7542520846503507,0.0,0.0,04-09-2013,-0.74,-0.3590010405827263,-0.25,-0.28703703703703703,-0.2553191489361702,-0.15625,-0.3191489361702128,-0.5,-1.0,-0.5,-0.4,-0.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
79,-0.6858648093579784,-0.2777777777777778,Graduation,Together,0.14041662903759897,0.0,0.0,02-01-2013,-0.8,0.8397502601456815,-0.25,-0.013888888888888888,-0.2553191489361702,-0.25,0.574468085106383,0.0,1.5,-0.25,0.6,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
80,-0.37976605054022683,0.8333333333333334,Graduation,Single,-0.6508775098588158,1.0,0.0,29-08-2012,0.76,-0.2278876170655567,-0.125,0.004629629629629629,-0.10638297872340426,-0.09375,-0.14893617021276595,1.0,-0.25,-0.25,-0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,-0.5710331279578533,-0.05555555555555555,Graduation,Married,-0.7549143562419097,1.0,0.0,23-06-2013,-0.88,-0.35275754422476585,-0.21875,-0.28703703703703703,-0.2127659574468085,-0.25,-0.425531914893617,-0.5,-0.75,-0.5,-0.6,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,-0.02009107956067506,0.16666666666666666,2n Cycle,Married,-0.8375477889159818,1.0,0.0,03-07-2013,0.76,-0.3090530697190427,-0.09375,-0.2222222222222222,-0.10638297872340426,-0.25,-0.02127659574468085,0.5,-0.25,-0.5,-0.4,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,-0.23921778730243773,-0.3888888888888889,Master,Together,-0.38416267798549025,0.0,0.0,11-05-2013,0.14,-0.1279916753381894,0.28125,-0.10648148148148148,0.46808510638297873,0.4375,1.3829787234042554,-0.5,-0.5,0.75,-0.4,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,-0.879274935262077,0.9444444444444444,Graduation,Divorced,0.9024805081429302,0.0,0.0,25-02-2014,-0.62,-0.021852237252861603,0.46875,1.6527777777777777,0.3191489361702128,1.78125,1.1063829787234043,-0.5,-0.25,2.0,1.6,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,-0.034020894722743104,-0.5555555555555556,Graduation,Married,-0.6605105511905837,1.0,1.0,11-08-2013,0.92,-0.32570239334027057,0.0,-0.24537037037037038,-0.0425531914893617,-0.125,-0.44680851063829785,0.0,-0.75,-0.5,-0.2,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,-0.9260648272167158,0.0,Master,Married,-0.4588789548150155,1.0,1.0,16-07-2013,-0.02,-0.09053069719042664,-0.25,-0.2361111111111111,-0.2553191489361702,-0.25,-0.40425531914893614,1.5,-0.25,-0.25,-0.2,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,-0.17974819180283955,-0.7222222222222222,Graduation,Single,-0.029907583009723352,0.0,1.0,28-05-2014,-0.92,0.24661810613943808,-0.0625,-0.1388888888888889,-0.2553191489361702,-0.15625,0.2127659574468085,1.0,0.5,-0.25,0.2,0.25,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
88,0.543887847129208,0.16666666666666666,Graduation,Married,0.8492579547849123,0.0,0.0,12-05-2014,0.42,0.3673257023933403,1.625,2.3194444444444446,2.0851063829787235,3.90625,2.574468085106383,-0.5,0.25,1.0,0.4,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
